IdPregunta,Orden,IdVariable,Rol
10511,1,2003,BASE
3004,1,3001,BASE
3005,1,3001,BASE
3005,2,3002,BASE
3006,1,3001,BASE
3006,2,3002,BASE
3007,1,3001,BASE
3007,2,3002,BASE
3007,3,3003,PORCENTAJE
30111,1,30101,BASE
30112,1,30101,BASE
30112,2,30102,BASE
30113,1,30101,BASE
30113,2,30102,BASE
30114,1,30101,BASE
30114,2,30102,BASE
30114,3,30103,PORCENTAJE
