IdVariable,Opcion,Valor
100,DBA,0
100,SO,0
100,RED,0
101,Nivel 1,3000000
101,Nivel 2,5000000
101,Nivel 3,7000000
102,Nivel 1,3000000
102,Nivel 2,5000000
102,Nivel 3,7000000
103,Nivel 1,3000000
103,Nivel 2,5000000
103,Nivel 3,7000000
104,Porcentaje,0
104,Hora,0
