IdVariable,Opcion,Valor,Comentarios
2006,GS. Master Gerente de Servicio,123809.52,
2006,BD. Junior (Tareas de Operación),49523.81,
2006,BD. Senior (Administración y Soporte N1/N2),92857.14,
2006,BD. Master (Administración y Soporte N3) Sql - My Sql,123809.52,
2006,BD. Master (Administración y Soporte N3) Oracle-Informix-DB2,148571.43,
2006,SO. Junior (Tareas de Operación) Windows,30952.38,
2006,SO. Senior (Administración y Soporte N1/N2) Windows,61904.76,
2006,SO. Master (Administración y Soporte N3) Windows,99047.62,
2006,SO. Junior (Tareas de Operación) AIX - Solaris - Linux,43333.33,
2006,SO. Senior (Administración y Soporte N1/N2) AIX - Solaris - Linux,74285.71,
2006,SO. Master (Administración y Soporte N3) AIX - Solaris - Linux,111428.57,
2006,SO. Junior (Tareas de Operación) AS400,47047.62,
2006,SO. Senior (Administración y Soporte N1/N2) AS400,80476.19,
2006,SO. Master (Administración y Soporte N3) AS400,123809.52,
2006,PL. Junior (Tareas de Operación),34666.67,
2006,PL. Senior (Administración y Soporte N1/N2),61904.76,
2006,PL. Master (Administración y Soporte N3),99047.62,
2006,AS. Junior (Tareas de Operación),43333.33,
2006,AS. Senior (Administración y Soporte N1/N2),80476.19,
2006,AS. Master (Administración y Soporte N3),111428.57,
2006,OF. Junior (Tareas de Operación),32142.86,
2006,OF. Senior (Administración y Soporte N1/N2),42857.14,
2006,OF. Master (Administración y Soporte N3),66666.67,
2006,IN. Junior (Tareas de Operación),37142.86,
2006,IN. Senior (Administración y Soporte N1/N2),68095.24,
2006,IN. Master (Administración y Soporte N3),99047.62,
2006,MO. Junior (Tareas de Operación),24761.90,
2006,MO. Senior (Administración y Soporte N1/N2),43333.33,
2006,MO. Master (Administración y Soporte N3),61904.76,
2006,AV. Junior (Tareas de Operación),43333.33,
2006,AV. Senior (Administración y Soporte N1/N2),74285.71,
2006,AV. Master (Administración y Soporte N3),111428.57,
2006,CL. Junior (Tareas de Operación),43333.33,
2006,CL. Senior (Administración y Soporte N1/N2),74285.71,
2006,CL. Master (Administración y Soporte N3),123809.52,
2006,IR. Junior (Tareas de Operación),47047.62,
2006,IR. Senior (Administración y Soporte N1/N2),74285.71,
2006,IR. Master (Administración y Soporte N3),117619.05,
